Lake,Paper_IDs,Country,Lat,Lon,Lacustrine_morphs
Aigneau,234B,Canada,57.21,-70.13,2
Athapapuskow,373B,Canada,54.62,-101.63,2
Awe,122A,UK,56.33,-5.08,2
BaiedesOnzeIles,186A,Canada,46.7,-73.12,2
Barrow,255A,Canada,59.15,-111.13,2
Biel,37C,Switzerland,47.07,7.02,2
Bolshoe,03C,Russia,54.56,159.66,2
Bolshoi-Namarakit,"73A,264A",Russia,56.24,116.96,2
Brienz,156B;08C;37C,Switzerland,46.72,7.97,4
Cedar,04C,Canada,46.02,-78.48,2
Cliff,286A;285A;108B;20C,US,46.41,-69.27,2
Como,36A,US,47.92,-83.5,2
Constance,126A;37C,Switzerland,47.6,9.43,5
Cormorant,255A,Canada,54.3,-100.35,2
Crescent,285A,US,46.43,-69.61,2
Davatchan,264A;73A;49C,Russia,56.45,117.55,3
Dezadeash,79C,Canada,60.46,-137,2
Dughaill,47A,UK,57.47,-5.34,2
East,306A;286A;285A;108B;20C,Canada,47.25,-69.5,2
Ellasjoen,53A,Norway,74.5,19,2
Ericht,291A;226A,UK,56.83,-4.33,2
Femund,317A;331B;339B,Norway,62,11.92,4
Fjellfros,276A;203A;193A;182A;181A;165A;49A;43A;55B;58B;196B,Norway,69.08,19.33,4
Galtabol,118A,Iceland,65.25,-19.72,2
Gander,220A;89A;178B,Canada,48.92,-54.58,4
GreatBear,256A;228A;107A;72A;57A;26A;62B,Canada,66,-121,4
GreatSlaveC,255A;129A;83A,Canada,61.23,-115.38,3
GreatSlaveS,170A,Canada,61.23,-115.38,2
Hazen,142A;393B,Canada,81.83,-70.42,2
Hogan,04C,Canada,45.87,-78.51,2
Iddja,28A;202A;210B,Finland,69.62,25.37,3
Imandra,06C,Russia,67.83,33.17,2
Inari,28A;14B;40B,Finland,69.03,27.87,4
Indian,285A;108B,Canada,46.26,-69.3,2
Iqalugaajuruluit,162A,Canada,63.68,-68.37,2
Isteren,331B,Norway,61.95,11.78,2
Kalarskii-Davatchan,73A;49C,Russia,56.28,116.64,3
Kamkanda,73A;31C,Russia,57.09,119.81,3
Kiryalta-3,264A;89A;73A;1A;49C,Russia,57.14,119.45,2
Kiryalta-4,264A;89A;73A;1A;49C,Russia,57.11,119.47,2
Koitere,19C,Finland,62.98,30.77,3
Krestaki,73A;264A;49C,Russia,56.84,116.38,4
Kronotskoe,74A;27A;13C;33C,Russia,54.82,160.24,7
Kudushkit,73A;49C,Russia,56.55,110.62,2
Ladnet,202A,Finland/Sweden,69.53,23.7,2
Lahpo,237A;128A;108A;104A;210B,Finland/Sweden,69.25,23.78,2
Langfjord,96A;28A;210B,Finland/Sweden,69.54,29.97,3
Ledoux,300A,Canada,46.63,-73.25,2
Limingen,3A,Norway,64.83,13.22,3
LittleTeslin,79C,Canada,60.48,-133.45,2
LowerTazimina,154B;63A,US,59.96,-154.56,3
Lucerne,126A;156B;17C;37C,Switzerland,47.02,8.37,6
Maggiore,37C,Switzerland,45.97,8.07,2
Maree,176A,UK,57.65,-5.4,2
Memesagamesing,04C,Canada,46.02,-80.01,2
MistassiniF,34C,Canada,50.67,-73.33,3
MistassiniN,198A,Canada,50.67,-73.33,2
Muddus,242A;213A;189A;148A;138A;14B;40B;55B;210B,Finland/Sweden,69,26.83,4
Neuchatel,37C;126A,Switzerland,46.88,6.08,2
Nipigon,255A;284A;04C,Canada,49.45,-88.3,4
Njalla,202A;210B,Finland/Sweden,69.07,23.18,2
Normu1ipSaqqaataTasia,01C,Greenland,60.86,-45.34,2
Paadar,148A;138A;14B;40B;210B,Finland/Sweden,68.97,26.58,4
Padorinskoe,49C,Russia,57.13,115.6,2
Pulmanki,28A,Finland/Sweden,70,28.02,3
Radiant,04C,Canada,45.99,-78.29,2
Rannoch,313A;296A;234A;269B;21C;93C,UK,56.68,-4.3,3
Rush,42A,US,42.47,-83.88,2
Ruskebukt,202A;38C,Finland,69.22,29.23,2
SaqqaataTasia,01C,Greenland,60.84,-45.4,5
Severonichatskoe,264A;49C,Russia,57.81,117.64,2
Sirdals,318A,Norway,58.42,6.67,2
Sko,5A,Norway,69.03,17.88,2
Skogsfjord,68A;49A;43A;38A;57B;58B;136B,Norway,69.95,19.17,3
Skrukkebukta,202A;138A;96A;28A;210B;38C,Finland,69.55,30.12,3
Squanga,79C,Canada,60.47,-133.64,2
Stack,176A,UK,58.33,-4.9,2
Stechlin,166A,Germany,53.17,13.03,2
Stora-Vidar,118A;75C,Iceland,66.23,-15.83,2
StoreRennen,82C,Norway,63.37,10.98,2
Stuora,249A;237A;202A;128A;28A;210B,Finland/Sweden,69.1,22.82,3
Suopat,249A;237A;128A;108A;104A;28A;210B,Finland/Sweden,68.93,23.09,3
Superior,33B;128B;16C;68C,Canada,48,-88.83,4
Svetlinskoe,73A;49C,Russia,55.63,110.52,2
Svina,118A;75C,Iceland,65.53,-20.1,3
Tarn,5A,Norway,69.31,18.36,3
Tasersuaq,01C,Greenland,60.81,-45.47,5
Tay,253A;122A,UK,56.5,-4.17,2
Temiscouata,285A;108B;20C,Canada,47.6,-68.75,2
Thingvalla,331A;327A;324A;320A;214A;18A;94C,Iceland,66.17,-22.17,4
Timerliit2,01C,Greenland,60.85,-45.33,3
Tinnsjoen,01D,Norway,60.64,11.12,4
Tjaerebukta,138A;96A;38C,Finland,69.21,29.17,3
Tokko,264A;73A;49C,Russia,57.18,119.68,3
Topolovoe,03C,Russia,52.81,158.28,2
Vaggatem,202A;128A;14B;210B;35C,Finland/Sweden,69.23,29.2,2
Vangsvatnet,96C;97C,Norway,60.62,6.37,2
Vatnshlidar,283A;18A;75C,Iceland,65,-19,2
Vuoddas,237A;202A;28A;210B,Finland,69.35,24,3
Vuolgamas,237A; 202A; 28A,Finland,69.12,23.33,3
Walen,126A;37C,Switzerland,47.12,9.2,2
Webster,285A;108B,US,46.16,-69.08,2
Zurich,126A;156B;37C,Switzerland,47.22,8.43,2
