"Lake","Species","Morph_ID","Morph_zone","Morph_diet","Source","Evidence"
"Aigneau","Salvelinus_alpinus","Aigneau_L","littoral/benthic","benthivore","234B","location of capture; stomach contents; verified with morphology"
"Aigneau","Salvelinus_alpinus","Aigneau_P","profundal","piscivore","234B","location of capture; stomach contents; verified with morphology"
"Athapapuskow","Coregonus_artedi","Athapapuskow_HGR","shallow","","373B","gill rakers and other morphology; location of capture"
"Athapapuskow","Coregonus_artedi","Athapapuskow_LGR","generalist","","373B","gill rakers and other morphology; location of capture"
"Awe","Salvelinus_alpinus","Awe_autumn","pelagic","planktivore","122A","morphology; growth curves; stable isotopes"
"Awe","Salvelinus_alpinus","Awe_spring","littoral/benthic","benthivore","122A","morphology; growth curves; stable isotopes"
"BaiedesOnzeIles","Salvelinus_fontinalis","BaiedesOnzeIles_L","littoral/benthic","","186A","stomach contents; morphology; location of capture"
"BaiedesOnzeIles","Salvelinus_fontinalis","BaiedesOnzeIles_PL","pelagic","","186A","stomach contents; morphology; location of capture"
"Barrow","Coregonus_artedi","Barrow_large","","benthivore","255A","gill raker and body size distributions; diet description within 255A"
"Barrow","Coregonus_artedi","Barrow_small","","planktivore","255A","gill raker and body size distributions; diet description within 255A"
"Biel","Coregonus_lavaretus","Biel_confusus","","","37C","gill rakers; morphology"
"Biel","Coregonus_lavaretus","Biel_palaea","","","37C","gill rakers; morphology"
"Bolshoe","Salvelinus_malma","Bolshoe_large","","piscivore","03C","stomach contents; morphology"
"Bolshoe","Salvelinus_malma","Bolshoe_norm","","planktivore","03C","stomach contents; morphology"
"Bolshoi-Namarakit","Salvelinus_alpinus","Bolshoi-Namarakit_D","","planktivore","264A","body size distributions; morphology; stomach contents"
"Bolshoi-Namarakit","Salvelinus_alpinus","Bolshoi-Namarakit_S","","planktivore","264A","body size distributions; morphology; stomach contents"
"Brienz","Coregonus_lavaretus","Brienz_albellus","generalist","","08C","spawning depth; morphology; depth of capture"
"Brienz","Coregonus_lavaretus","Brienz_balchen1","littoral/benthic","","08C","spawning depth; morphology; depth of capture"
"Brienz","Coregonus_lavaretus","Brienz_balchen2","generalist","","08C","spawning depth; morphology; depth of capture"
"Brienz","Coregonus_lavaretus","Brienz_Felchen","generalist","","08C","spawning depth; morphology; depth of capture"
"Cedar","Coregonus_artedi","Cedar_B","littoral/benthic","","04C","location of capture; morphology; gill rakers"
"Cedar","Coregonus_artedi","Cedar_PL","pelagic","","04C","location of capture; morphology; gill rakers"
"Cliff","Coregonus_clupeaformis","Cliff_dwarf","pelagic","planktivore","286A","location of capture; morphology; gill rakers; stomach contents"
"Cliff","Coregonus_clupeaformis","Cliff_norm","littoral/benthic","benthivore","286A","location of capture; morphology; gill rakers; stomach contents"
"Como","Coregonus_clupeaformis","Como_dwarf","pelagic","","36A","morphology; growth curves; gill rakers; description in 36A"
"Como","Coregonus_clupeaformis","Como_normal","littoral/benthic","","36A","morphology; growth curves; gill rakers; description in 36A"
"Constance","Coregonus_lavaretus","Constance_Alpenrhein","","","126A","depth; gill rakers; stable isotopes"
"Constance","Coregonus_lavaretus","Constance_arenicolus","","","126A","depth; gill rakers; stable isotopes"
"Constance","Coregonus_lavaretus","Constance_macrophthalmus","","","126A","depth; gill rakers; stable isotopes"
"Constance","Coregonus_lavaretus","Constance_wartmanni","pelagic","","126A","depth; gill rakers; stable isotopes"
"Constance","Coregonus_lavaretus","Constance_Weissfelchen","","","126A","depth; gill rakers; stable isotopes"
"Cormorant","Coregonus_artedi","Cormorant_dwarf","","","255A","gill raker and body size distributions"
"Cormorant","Coregonus_artedi","Cormorant_norm","","","255A","gill raker and body size distributions"
"Crescent","Coregonus_clupeaformis","Crescent_dwarf","","","285A","gill rakers; morphology"
"Crescent","Coregonus_clupeaformis","Crescent_norm","","","285A","gill rakers; morphology"
"Davatchan","Salvelinus_alpinus","Davatchan_D","","generalist invertivore","264A","body size distributions; morphology; stomach contents"
"Davatchan","Salvelinus_alpinus","Davatchan_L","","piscivore","264A","body size distributions; morphology; stomach contents"
"Davatchan","Salvelinus_alpinus","Davatchan_S","","planktivore","264A","body size distributions; morphology; stomach contents"
